shot_number,phase,total_points,gfile_exists_points,effective_converged_points,gfile_existence_rate_percent,effective_convergence_rate_percent,avg_error_percent
38357,ramp-up,4,0,0,0.0,0.0,
38357,ramp-down,7,3,3,42.857142857142854,42.857142857142854,1.7179173730397774e-08
38362,ramp-up,4,0,0,0.0,0.0,
38362,ramp-down,4,1,1,25.0,25.0,1.8113661626953585e-08
38363,ramp-up,5,0,0,0.0,0.0,
38363,ramp-down,3,1,1,33.33333333333333,33.33333333333333,4.903226441603143e-08
38364,ramp-up,5,0,0,0.0,0.0,
38364,ramp-down,4,2,2,50.0,50.0,4.952343605325907e-08
38365,ramp-up,5,0,0,0.0,0.0,
38365,ramp-down,4,1,1,25.0,25.0,5.160826064196681e-08
38366,ramp-up,5,0,0,0.0,0.0,
38366,ramp-down,4,1,1,25.0,25.0,7.04965446080317e-08
38367,ramp-up,5,0,0,0.0,0.0,
38367,ramp-down,4,1,1,25.0,25.0,5.993848112345745e-08
38368,ramp-up,5,0,0,0.0,0.0,
38368,ramp-down,5,2,2,40.0,40.0,7.067242244686022e-08
38371,ramp-up,5,0,0,0.0,0.0,
38371,ramp-down,5,1,1,20.0,20.0,7.900050767860757e-08
38372,ramp-up,5,0,0,0.0,0.0,
38372,ramp-down,5,2,2,40.0,40.0,8.007690645031092e-08
38373,ramp-up,5,0,0,0.0,0.0,
38373,ramp-down,5,3,3,60.0,60.0,7.389504093656125e-08
38374,ramp-up,4,0,0,0.0,0.0,
38374,ramp-down,6,2,2,33.33333333333333,33.33333333333333,3.947341005072106e-08
38376,ramp-up,3,0,0,0.0,0.0,
38376,ramp-down,5,3,3,60.0,60.0,1.6213310569840042e-07
38379,ramp-up,3,3,3,100.0,100.0,5.8109538551118335e-08
38379,ramp-down,1,1,1,100.0,100.0,1.452489900665185e-07
38380,ramp-up,4,0,0,0.0,0.0,
38380,ramp-down,3,1,1,33.33333333333333,33.33333333333333,6.922253790020426e-08
38388,ramp-up,6,2,2,33.33333333333333,33.33333333333333,1.8935788641315544e-08
38388,ramp-down,4,2,2,50.0,50.0,4.3248501004364095e-08
38390,ramp-up,6,3,3,50.0,50.0,2.0846758205439583e-08
38390,ramp-down,5,3,3,60.0,60.0,3.013980816323404e-08
38391,ramp-up,5,0,0,0.0,0.0,
38391,ramp-down,4,2,2,50.0,50.0,4.709306877927255e-08
38393,ramp-up,4,0,0,0.0,0.0,
38393,ramp-down,5,2,2,40.0,40.0,1.4522363835563143e-07
38396,ramp-up,4,0,0,0.0,0.0,
38396,ramp-down,4,2,2,50.0,50.0,6.035922347276573e-08
38397,ramp-up,5,0,0,0.0,0.0,
38397,ramp-down,3,2,2,66.66666666666666,66.66666666666666,5.148037103801491e-08
38409,ramp-up,5,0,0,0.0,0.0,
38409,ramp-down,5,1,1,20.0,20.0,2.4934448665986413e-07
38410,ramp-up,4,0,0,0.0,0.0,
38410,ramp-down,6,2,2,33.33333333333333,33.33333333333333,1.2180758962463142e-07
38411,ramp-up,3,2,2,66.66666666666666,66.66666666666666,6.89229130347947e-08
38411,ramp-down,1,1,1,100.0,100.0,2.408947340745658e-07
38412,ramp-up,5,0,0,0.0,0.0,
38412,ramp-down,5,1,1,20.0,20.0,1.016224464996498e-07
38413,ramp-up,5,0,0,0.0,0.0,
38413,ramp-down,5,1,1,20.0,20.0,1.7085261179277648e-07
38414,ramp-up,5,0,0,0.0,0.0,
38414,ramp-down,4,1,1,25.0,25.0,1.5484623822168734e-07
38415,ramp-up,7,0,0,0.0,0.0,
38415,ramp-down,2,1,1,50.0,50.0,3.025722348199143e-07
38438,ramp-up,7,0,0,0.0,0.0,
38438,ramp-down,5,2,2,40.0,40.0,8.506674312014045e-08
38443,ramp-up,6,0,0,0.0,0.0,
38443,ramp-down,6,1,1,16.666666666666664,16.666666666666664,1.2588476116889869e-07
38444,ramp-up,6,0,0,0.0,0.0,
38444,ramp-down,4,1,1,25.0,25.0,2.8471078773990142e-08
38445,ramp-up,5,0,0,0.0,0.0,
38445,ramp-down,4,1,1,25.0,25.0,8.761144093459573e-08
38447,ramp-up,6,0,0,0.0,0.0,
38447,ramp-down,6,1,1,16.666666666666664,16.666666666666664,2.0077789480044807e-08
38448,ramp-up,6,0,0,0.0,0.0,
38448,ramp-down,6,0,0,0.0,0.0,
38449,ramp-up,6,0,0,0.0,0.0,
38449,ramp-down,7,3,3,42.857142857142854,42.857142857142854,9.075829972521604e-08
38450,ramp-up,6,0,0,0.0,0.0,
38450,ramp-down,4,0,0,0.0,0.0,
38451,ramp-up,6,0,0,0.0,0.0,
38451,ramp-down,4,0,0,0.0,0.0,
38572,ramp-up,5,0,0,0.0,0.0,
38572,ramp-down,4,2,2,50.0,50.0,3.9927612501097076e-08
38573,ramp-up,5,0,0,0.0,0.0,
38573,ramp-down,5,4,4,80.0,80.0,4.5262321430710005e-08
38574,ramp-up,5,0,0,0.0,0.0,
38574,ramp-down,7,3,3,42.857142857142854,42.857142857142854,5.312603669654335e-08
38575,ramp-up,4,1,1,25.0,25.0,9.228553673886977e-08
38575,ramp-down,3,2,2,66.66666666666666,66.66666666666666,6.746443486024417e-08
38580,ramp-up,4,0,0,0.0,0.0,
38580,ramp-down,4,2,2,50.0,50.0,3.056150593222946e-08
38628,ramp-up,2,0,0,0.0,0.0,
38628,ramp-down,1,0,0,0.0,0.0,
38629,ramp-up,4,3,3,75.0,75.0,4.7541904648587546e-08
38629,ramp-down,2,1,1,50.0,50.0,2.0808035573151512e-08
38631,ramp-up,4,4,4,100.0,100.0,6.36311778227346e-08
38631,ramp-down,3,1,1,33.33333333333333,33.33333333333333,3.029823846693936e-08
38632,ramp-up,5,0,0,0.0,0.0,
38632,ramp-down,4,3,3,75.0,75.0,1.2767202860613932e-07
38633,ramp-up,5,0,0,0.0,0.0,
38633,ramp-down,3,0,0,0.0,0.0,
38634,ramp-up,5,0,0,0.0,0.0,
38634,ramp-down,5,0,0,0.0,0.0,
38636,ramp-up,6,0,0,0.0,0.0,
38636,ramp-down,4,1,1,25.0,25.0,4.3893745880012834e-08
38672,ramp-up,4,0,0,0.0,0.0,
38672,ramp-down,3,1,1,33.33333333333333,33.33333333333333,1.248992594586716e-07
38673,ramp-up,4,0,0,0.0,0.0,
38673,ramp-down,3,2,2,66.66666666666666,66.66666666666666,8.281373670284789e-08
38674,ramp-up,4,0,0,0.0,0.0,
38674,ramp-down,4,1,1,25.0,25.0,9.839986075606436e-08
38675,ramp-up,4,0,0,0.0,0.0,
38675,ramp-down,4,1,1,25.0,25.0,1.6771528194913072e-08
38676,ramp-up,4,0,0,0.0,0.0,
38676,ramp-down,4,2,2,50.0,50.0,8.183953398436725e-08
38677,ramp-up,5,0,0,0.0,0.0,
38677,ramp-down,3,1,1,33.33333333333333,33.33333333333333,5.977887656368004e-08
38678,ramp-up,5,0,0,0.0,0.0,
38678,ramp-down,3,1,1,33.33333333333333,33.33333333333333,1.0221717298712376e-08
38679,ramp-up,5,0,0,0.0,0.0,
38679,ramp-down,4,1,1,25.0,25.0,1.562852460257041e-09
38680,ramp-up,5,0,0,0.0,0.0,
38680,ramp-down,4,1,1,25.0,25.0,5.1815299615956235e-08
38681,ramp-up,5,0,0,0.0,0.0,
38681,ramp-down,4,2,2,50.0,50.0,4.066445989325249e-08
38684,ramp-up,5,0,0,0.0,0.0,
38684,ramp-down,4,3,3,75.0,75.0,5.935848118263367e-08
38685,ramp-up,5,0,0,0.0,0.0,
38685,ramp-down,4,1,1,25.0,25.0,2.6704196606364138e-08
38692,ramp-up,5,0,0,0.0,0.0,
38692,ramp-down,14,7,7,50.0,50.0,4.889611455554538e-08
38693,ramp-up,5,0,0,0.0,0.0,
38693,ramp-down,15,10,10,66.66666666666666,66.66666666666666,8.913368175517747e-08
38694,ramp-up,5,0,0,0.0,0.0,
38694,ramp-down,15,10,10,66.66666666666666,66.66666666666666,3.537483708557263e-08
38695,ramp-up,5,0,0,0.0,0.0,
38695,ramp-down,13,10,10,76.92307692307693,76.92307692307693,6.288374751119597e-08
38696,ramp-up,5,0,0,0.0,0.0,
38696,ramp-down,13,7,7,53.84615384615385,53.84615384615385,3.3624787748063977e-08
38697,ramp-up,5,0,0,0.0,0.0,
38697,ramp-down,14,9,9,64.28571428571429,64.28571428571429,4.4847924249301094e-08
38698,ramp-up,6,0,0,0.0,0.0,
38698,ramp-down,13,8,8,61.53846153846154,61.53846153846154,9.14840074825008e-08
38699,ramp-up,5,0,0,0.0,0.0,
38699,ramp-down,15,10,10,66.66666666666666,66.66666666666666,4.254464465405171e-08
38700,ramp-up,5,0,0,0.0,0.0,
38700,ramp-down,15,10,10,66.66666666666666,66.66666666666666,6.900961743484135e-08
38701,ramp-up,5,0,0,0.0,0.0,
38701,ramp-down,15,11,11,73.33333333333333,73.33333333333333,5.503338938499859e-08
38702,ramp-up,5,0,0,0.0,0.0,
38702,ramp-down,15,8,8,53.333333333333336,53.333333333333336,4.643668012948349e-08
38703,ramp-up,5,0,0,0.0,0.0,
38703,ramp-down,15,9,9,60.0,60.0,6.012915201343943e-08
38704,ramp-up,5,0,0,0.0,0.0,
38704,ramp-down,15,10,10,66.66666666666666,66.66666666666666,4.468425930553273e-08
38705,ramp-up,5,0,0,0.0,0.0,
38705,ramp-down,15,9,9,60.0,60.0,8.262867674859706e-08
38706,ramp-up,5,0,0,0.0,0.0,
38706,ramp-down,15,9,9,60.0,60.0,5.419689330583256e-08
38707,ramp-up,5,0,0,0.0,0.0,
38707,ramp-down,16,8,8,50.0,50.0,4.542429296960378e-08
38713,ramp-up,6,0,0,0.0,0.0,
38713,ramp-down,6,2,2,33.33333333333333,33.33333333333333,3.561473190666786e-08
38716,ramp-up,6,0,0,0.0,0.0,
38716,ramp-down,6,1,1,16.666666666666664,16.666666666666664,9.974444625315718e-08
38718,ramp-up,6,0,0,0.0,0.0,
38718,ramp-down,5,1,1,20.0,20.0,4.8524868611202686e-08
38720,ramp-up,6,0,0,0.0,0.0,
38720,ramp-down,6,2,2,33.33333333333333,33.33333333333333,2.7696092318228536e-08
38722,ramp-up,6,0,0,0.0,0.0,
38722,ramp-down,6,1,1,16.666666666666664,16.666666666666664,6.656346053477245e-08
38724,ramp-up,6,0,0,0.0,0.0,
38724,ramp-down,5,4,4,80.0,80.0,6.200387079998692e-08
38726,ramp-up,5,0,0,0.0,0.0,
38726,ramp-down,7,1,1,14.285714285714285,14.285714285714285,5.8594206121008286e-08
38728,ramp-up,6,0,0,0.0,0.0,
38728,ramp-down,6,2,2,33.33333333333333,33.33333333333333,3.14487771402345e-08
38730,ramp-up,6,0,0,0.0,0.0,
38730,ramp-down,6,1,1,16.666666666666664,16.666666666666664,4.706659200338047e-08
38732,ramp-up,6,0,0,0.0,0.0,
38732,ramp-down,6,3,3,50.0,50.0,5.659883556615663e-08
38736,ramp-up,5,0,0,0.0,0.0,
38736,ramp-down,6,2,2,33.33333333333333,33.33333333333333,5.333617142913123e-08
38740,ramp-up,6,0,0,0.0,0.0,
38740,ramp-down,6,2,2,33.33333333333333,33.33333333333333,5.308188093000619e-08
38743,ramp-up,5,0,0,0.0,0.0,
38743,ramp-down,6,3,3,50.0,50.0,4.6940805772115064e-08
38744,ramp-up,6,0,0,0.0,0.0,
38744,ramp-down,5,2,2,40.0,40.0,3.431401136814551e-08
38746,ramp-up,6,0,0,0.0,0.0,
38746,ramp-down,5,2,2,40.0,40.0,8.242280868243524e-08
38747,ramp-up,6,0,0,0.0,0.0,
38747,ramp-down,5,1,1,20.0,20.0,1.2021513813866728e-07
38748,ramp-up,6,0,0,0.0,0.0,
38748,ramp-down,5,2,2,40.0,40.0,3.930099937521229e-08
38749,ramp-up,6,0,0,0.0,0.0,
38749,ramp-down,5,2,2,40.0,40.0,8.042661466215058e-08
38750,ramp-up,5,0,0,0.0,0.0,
38750,ramp-down,6,3,3,50.0,50.0,2.4346662308023258e-08
38766,ramp-up,5,0,0,0.0,0.0,
38766,ramp-down,10,8,8,80.0,80.0,6.413448974047597e-08
38767,ramp-up,5,0,0,0.0,0.0,
38767,ramp-down,12,8,8,66.66666666666666,66.66666666666666,4.240471740583317e-08
38768,ramp-up,5,0,0,0.0,0.0,
38768,ramp-down,12,8,8,66.66666666666666,66.66666666666666,5.855466331702236e-08
38769,ramp-up,5,0,0,0.0,0.0,
38769,ramp-down,10,7,7,70.0,70.0,2.3992641513247365e-08
38818,ramp-up,5,0,0,0.0,0.0,
38818,ramp-down,6,4,4,66.66666666666666,66.66666666666666,1.1482506393400496e-08
