shot_number,total_kfiles,gfile_exists_count,effective_converged_count,convergence_failures,gfile_existence_rate_percent,effective_convergence_rate_percent,max_kfile_current,max_gfile_current,avg_current_error_percent,max_current_error_percent,effective_converged_points
38200,4,2,2,0,50.0,50.0,41570.93836188694,39847.1323,4.140678197847108e-08,7.812625011620756e-08,2
38201,4,2,2,0,50.0,50.0,42519.291429804005,42108.6963,1.0539049685321144e-07,1.3325151129842173e-07,2
38202,5,1,1,0,20.0,20.0,57419.58474434896,48563.2901,4.9778726326831134e-08,4.9778726326831134e-08,1
38203,5,2,2,0,40.0,40.0,49967.07136644376,49967.0713,1.3961433021213363e-07,1.4625356414245637e-07,2
38204,5,2,2,0,40.0,40.0,51619.03858661981,51619.0386,2.2488809718021477e-08,2.5921032435154923e-08,2
38205,5,2,2,0,40.0,40.0,54532.06978328875,47642.4235,4.097763364931365e-08,4.72403299687468e-08,2
38206,5,2,2,0,40.0,40.0,56727.90310952684,51311.6709,8.581905669979112e-08,1.2820683398864736e-07,2
38233,7,1,1,0,14.285714285714285,14.285714285714285,77842.54447116841,34797.1456,5.39024153714076e-08,5.39024153714076e-08,1
38234,8,0,0,0,0.0,0.0,81349.1558198057,,,,0
38235,8,3,3,0,37.5,37.5,69459.05550267822,68731.1201,3.1122691916129704e-08,5.533142228843483e-08,3
38236,9,1,1,0,11.11111111111111,11.11111111111111,97793.5206115779,62166.7393,1.1544672382341949e-08,1.1544672382341949e-08,1
38245,8,1,1,0,12.5,12.5,101185.64765487392,60449.486,2.4464324599568232e-08,2.4464324599568232e-08,1
38246,9,1,1,0,11.11111111111111,11.11111111111111,102886.23721597744,50697.0962,6.016699053151573e-08,6.016699053151573e-08,1
38247,9,2,2,0,22.22222222222222,22.22222222222222,102324.08278020062,75209.5514,6.986890095514492e-08,7.615164626614755e-08,2
38248,10,3,3,0,30.0,30.0,102525.6981647184,76474.078,2.3397815475402062e-08,4.662649233752052e-08,3
38249,10,2,2,0,20.0,20.0,101231.93761649675,76475.8613,3.612661119778148e-08,4.2633196849028985e-08,2
38251,10,3,3,0,30.0,30.0,100308.51527495647,78124.7804,4.2820511695422364e-08,9.464479371500277e-08,3
38252,9,1,1,0,11.11111111111111,11.11111111111111,86076.94174462534,34013.1198,1.2502005492180716e-07,1.2502005492180716e-07,1
38253,10,2,2,0,20.0,20.0,98273.39176769476,59217.3421,2.773130025847885e-08,4.230586967908857e-08,2
38254,11,3,3,0,27.27272727272727,27.27272727272727,94351.25461211149,62421.7623,4.5858499540675394e-08,7.932038672662984e-08,3
38255,9,1,1,0,11.11111111111111,11.11111111111111,80262.50820750685,35815.1482,2.346032878573488e-07,2.346032878573488e-07,1
38256,9,3,3,0,33.33333333333333,33.33333333333333,73123.74584077968,61843.3761,7.428553570392101e-08,1.1531151213619735e-07,3
38257,11,1,1,0,9.090909090909092,9.090909090909092,97404.33625424348,76401.4206,2.8069741599794882e-08,2.8069741599794882e-08,1
38258,11,2,2,0,18.181818181818183,18.181818181818183,96521.0288327095,46132.5819,1.0881461640437773e-07,1.3153059332332168e-07,2
38259,11,1,1,0,9.090909090909092,9.090909090909092,96865.642080325,47292.5084,1.4067395569619308e-07,1.4067395569619308e-07,1
38260,11,2,2,0,18.181818181818183,18.181818181818183,96228.20365440402,74898.4854,3.8759624284491054e-08,6.203791482974913e-08,2
38266,11,1,1,0,9.090909090909092,9.090909090909092,96371.40941094307,43018.6117,5.7459357529555486e-08,5.7459357529555486e-08,1
38267,11,3,3,0,27.27272727272727,27.27272727272727,96969.53041732208,74562.3672,9.732716342878823e-08,1.55483055429992e-07,3
38269,12,2,2,0,16.666666666666664,16.666666666666664,95788.28188092924,46072.1279,5.188129787875658e-08,8.593143230764104e-08,2
38309,11,4,4,0,36.36363636363637,36.36363636363637,95204.39850307544,92008.62,5.070471291226795e-08,1.1519907208247966e-07,4
38310,12,4,4,0,33.33333333333333,33.33333333333333,113583.893109664,91444.6957,9.437081045247562e-08,1.5933064956127115e-07,4
38311,12,4,4,0,33.33333333333333,33.33333333333333,101304.25786637602,98370.1275,8.972476784167591e-08,1.599295611097282e-07,4
38312,12,3,3,0,25.0,25.0,100577.66541951032,97484.2922,5.901174133499496e-08,1.2602668870416014e-07,3
38313,13,4,4,0,30.76923076923077,30.76923076923077,101066.83497025377,98511.9301,4.566597402227954e-08,8.009212797801723e-08,4
38315,13,3,3,0,23.076923076923077,23.076923076923077,99827.1380018942,96581.8775,7.45785073657148e-08,1.863821171387294e-07,3
38316,10,5,5,0,50.0,50.0,86766.39285538808,86766.3929,4.0261452355837725e-08,7.622690477447729e-08,5
38317,11,5,5,0,45.45454545454545,45.45454545454545,87510.81597716155,87510.816,5.120884025777977e-08,1.1724861492516437e-07,5
38318,11,3,3,0,27.27272727272727,27.27272727272727,90271.21842739076,86383.0893,8.312133064865313e-08,1.963262976762491e-07,3
38319,10,5,5,0,50.0,50.0,93288.14933499794,91208.0938,7.251969822793021e-08,1.611485751301113e-07,5
38320,12,3,3,0,25.0,25.0,92866.46498859122,90811.8642,4.4879268201420445e-08,1.037655022464628e-07,3
38321,11,2,2,0,18.181818181818183,18.181818181818183,94045.34767654068,91614.586,3.920064826280581e-08,5.3432899060678135e-08,2
38322,12,4,4,0,33.33333333333333,33.33333333333333,94165.52942211702,93312.1901,6.492298834958356e-08,9.758140112965589e-08,4
38323,11,2,2,0,18.181818181818183,18.181818181818183,94952.8366142014,92718.0619,3.3919240505228244e-08,6.592725113687694e-08,2
38324,11,3,3,0,27.27272727272727,27.27272727272727,93052.30630324788,91280.5579,8.137466968317032e-08,1.4830217435046753e-07,3
38328,1,0,0,0,0.0,0.0,21773.49741658582,,,,0
38329,1,0,0,0,0.0,0.0,22293.14784548431,,,,0
38330,1,0,0,0,0.0,0.0,22431.6696085917,,,,0
