shotnumber,time,ip,md_index,type,measured,reconstructed,chi_squared
43829,0.312,107.73347,0,Diamagnetic_Flux,0.001376552041620016,0.0022939201444387436,8.415643331402371e-15
43829,0.313,88.0222356,0,Diamagnetic_Flux,0.001001480733975768,0.0014781999634578824,2.272612902647574e-15
43829,0.314,83.957739,0,Diamagnetic_Flux,0.0006840976420789957,0.001301705022342503,3.814388414228719e-15
43829,0.315,56.8724415,0,Diamagnetic_Flux,0.0002598102146293968,0.0005395323969423771,7.824452027185022e-16
43829,0.316,42.2569113,0,Diamagnetic_Flux,2.0052648324053735e-05,0.0002717128663789481,6.333286522444085e-16
40683,0.314,39.1400997,0,Diamagnetic_Flux,0.000453873653896153,0.00028518729959614575,2.8455092481162957e-16
40293,0.316,68.6851299,0,Diamagnetic_Flux,0.0017523266142234206,0.0018624513177201152,1.212745907327347e-16
40293,0.317,65.7075383,0,Diamagnetic_Flux,0.001649151323363185,0.0016232035122811794,6.732920141117237e-18
40293,0.318,60.9629847,0,Diamagnetic_Flux,0.0014980091946199536,0.0013416300062090158,2.445445793309637e-16
40293,0.319,58.0164557,0,Diamagnetic_Flux,0.0013396848225966096,0.0011687981896102428,2.9202225833222493e-16
40293,0.321,49.7527819,0,Diamagnetic_Flux,0.0009670911240391433,0.0007962715462781489,2.9179334767822946e-16
43883,0.306,195.352799,0,Diamagnetic_Flux,0.004475607071071863,0.008451797999441624,1.5810092221946875e-13
43883,0.309,149.811772,0,Diamagnetic_Flux,0.003276015864685178,0.0045254831202328205,1.5611686273700638e-14
43883,0.31,143.963699,0,Diamagnetic_Flux,0.0030964442994445562,0.0041029127314686775,1.0129788988958582e-14
43883,0.312,113.401951,0,Diamagnetic_Flux,0.0021900355350226164,0.0023902372922748327,4.0080744090192357e-16
43883,0.313,103.707547,0,Diamagnetic_Flux,0.001579423900693655,0.001966355601325631,1.497161227458077e-15
40629,0.317,62.0697203,0,Diamagnetic_Flux,0.0008865141426213086,0.0007435909355990589,2.0427053173429607e-16
40629,0.318,44.6781806,0,Diamagnetic_Flux,0.0004501182702369988,0.0003394113446120173,1.225602543977687e-16
40629,0.319,32.6637749,0,Diamagnetic_Flux,0.00019737677939701825,0.00015980898751877248,1.4113387044243035e-17
41357,0.315,60.605876300000006,0,Diamagnetic_Flux,0.0012369289761409163,0.0014952057972550392,6.670692567862179e-16
44833,0.306,185.24536600000002,0,Diamagnetic_Flux,0.004354577045887709,0.007452051620930433,9.594348969813038e-14
44833,0.307,160.111931,0,Diamagnetic_Flux,0.0034974294248968363,0.005259791389107704,3.105919384530087e-14
44833,0.31,102.400656,0,Diamagnetic_Flux,0.0012487847125157714,0.0019232889171689749,4.549559649369775e-15
44833,0.311,58.7985241,0,Diamagnetic_Flux,0.00027867525932379067,0.000533148820977658,6.475679643020229e-16
38319,0.317,34.2595924,0,Diamagnetic_Flux,-1.0298608796335232e-15,0.00017476278299000114,3.0542033432431784e-16
40208,0.308,15.3008966,0,Diamagnetic_Flux,-3.7202709791017696e-05,6.0401420341804624e-05,9.526566322879315e-17
40208,0.311,58.0138506,0,Diamagnetic_Flux,0.0005479278624989092,0.0009087664075195789,1.3020446469592072e-15
40208,0.312,48.0147106,0,Diamagnetic_Flux,0.0005060262628830969,0.0005735723534598947,4.5624744798305694e-17
40208,0.313,33.5560469,0,Diamagnetic_Flux,0.00032417874899692833,0.0002477581729181111,5.840104897627719e-17
40825,0.325,33.066743699999996,0,Diamagnetic_Flux,0.00045698924805037677,0.00033129085204564035,1.5800082759493788e-16
40825,0.326,28.3367217,0,Diamagnetic_Flux,0.0002689060347620398,0.00023027980932965875,1.491986332606386e-17
44147,0.303,75.1774213,0,Diamagnetic_Flux,0.00021760315576102585,0.0012294388143345714,1.023811433851704e-14
40576,0.315,44.202525099999995,0,Diamagnetic_Flux,0.00032155989902094007,0.00035753537667915225,1.2942354068496614e-17
41476,0.318,46.048054300000004,0,Diamagnetic_Flux,0.0007506952388212085,0.0008713381248526275,1.4554702128546611e-16
41476,0.32,24.167116399999998,0,Diamagnetic_Flux,0.00036466738674789667,0.0001907239347929135,3.025632657234495e-16
41591,0.317,63.291219,0,Diamagnetic_Flux,0.0009414637461304665,0.000998084433376789,3.205899598732584e-17
41591,0.318,40.746785300000006,0,Diamagnetic_Flux,0.0005014325142838061,0.0003554485156200826,2.1311326453605535e-16
39835,0.316,22.930744999999998,0,Diamagnetic_Flux,0.0004958821809850633,0.0001456752506783232,1.2264489681200106e-15
39375,0.316,69.9089244,0,Diamagnetic_Flux,0.0013953984016552567,0.0011334489099681377,6.861748790049267e-16
39375,0.317,59.6709677,0,Diamagnetic_Flux,0.0009576553129591048,0.000743742857594043,4.575855151942574e-16
39375,0.318,40.7760474,0,Diamagnetic_Flux,0.0005033593042753637,0.00030925223836675286,3.7677550153176337e-16
38396,0.316,51.8815709,0,Diamagnetic_Flux,-1.2847932063318176e-16,0.0007343111792579293,5.392129156508519e-15
