channel,r,z,width,height,turns_with_sign,material_index
1,0.803,0.2475,0.006,0.005,1,2
1,0.803,0.2525,0.006,0.005,1,2
1,0.803,0.2575,0.006,0.005,1,2
1,0.803,0.2625,0.006,0.005,1,2
1,0.803,0.2675,0.006,0.005,1,2
1,0.803,0.2725,0.006,0.005,1,2
1,0.803,0.2775,0.006,0.005,1,2
1,0.803,0.2825,0.006,0.005,1,2
1,0.803,0.2875,0.006,0.005,1,2
1,0.803,0.2925,0.006,0.005,1,2
1,0.803,0.2975,0.006,0.005,1,2
1,0.803,0.3025,0.006,0.005,1,2
1,0.803,0.3075,0.006,0.005,1,2
1,0.803,0.3125,0.006,0.005,1,2
1,0.803,0.3175,0.006,0.005,1,2
1,0.803,0.3225,0.006,0.005,1,2
1,0.803,0.3275,0.006,0.005,1,2
1,0.803,0.3325,0.006,0.005,1,2
1,0.803,0.3375,0.006,0.005,1,2
1,0.803,0.3425,0.006,0.005,1,2
1,0.803,0.3475,0.006,0.005,1,2
1,0.803,0.3525,0.006,0.005,1,2
1,0.803,0.3575,0.006,0.005,1,2
1,0.803,0.3625,0.006,0.005,1,2
1,0.803,0.3675,0.006,0.005,1,2
1,0.803,0.3725,0.006,0.005,1,2
1,0.803,0.3775,0.006,0.005,1,2
1,0.803,0.3825,0.006,0.005,1,2
1,0.803,0.3875,0.006,0.005,1,2
1,0.803,0.3925,0.006,0.005,1,2
1,0.803,0.3975,0.006,0.005,1,2
1,0.803,0.4025,0.006,0.005,1,2
1,0.803,0.4075,0.006,0.005,1,2
1,0.803,0.4125,0.006,0.005,1,2
1,0.803,0.4175,0.006,0.005,1,2
1,0.803,0.4225,0.006,0.005,1,2
1,0.803,0.4275,0.006,0.005,1,2
1,0.803,0.4325,0.006,0.005,1,2
1,0.803,0.4375,0.006,0.005,1,2
1,0.803,0.4425,0.006,0.005,1,2
1,0.803,0.4475,0.006,0.005,1,2
1,0.803,0.4525,0.006,0.005,1,2
1,0.803,0.4575,0.006,0.005,1,2
1,0.803,0.4625,0.006,0.005,1,2
1,0.803,0.4675,0.006,0.005,1,2
1,0.803,0.4725,0.006,0.005,1,2
1,0.803,0.4775,0.006,0.005,1,2
1,0.803,0.4825,0.006,0.005,1,2
1,0.803,0.4875,0.006,0.005,1,2
1,0.803,0.4925,0.006,0.005,1,2
1,0.803,0.4975,0.006,0.005,1,2
1,0.803,0.5025,0.006,0.005,1,2
1,0.803,0.5075,0.006,0.005,1,2
1,0.803,0.5125,0.006,0.005,1,2
1,0.803,0.5175,0.006,0.005,1,2
1,0.803,0.5225,0.006,0.005,1,2
1,0.803,0.5275,0.006,0.005,1,2
1,0.803,0.5325,0.006,0.005,1,2
1,0.803,0.5375,0.006,0.005,1,2
1,0.803,0.5425,0.006,0.005,1,2
1,0.803,0.5475,0.006,0.005,1,2
1,0.803,0.5525,0.006,0.005,1,2
1,0.803,0.5575,0.006,0.005,1,2
1,0.803,0.5625,0.006,0.005,1,2
1,0.803,0.5675,0.006,0.005,1,2
1,0.803,0.5725,0.006,0.005,1,2
1,0.803,0.5775,0.006,0.005,1,2
1,0.803,0.5825,0.006,0.005,1,2
1,0.803,0.5875,0.006,0.005,1,2
1,0.803,0.5925,0.006,0.005,1,2
1,0.803,0.5975,0.006,0.005,1,2
9,0.71,0.5925,0.02,0.015,1,2
9,0.73,0.5925,0.02,0.015,1,2
9,0.75,0.5925,0.02,0.015,1,2
9,0.77,0.5925,0.02,0.015,1,2
9,0.79,0.5925,0.02,0.015,1,2
9,0.71,-0.5925,0.02,0.015,1,2
9,0.73,-0.5925,0.02,0.015,1,2
9,0.75,-0.5925,0.02,0.015,1,2
9,0.77,-0.5925,0.02,0.015,1,2
9,0.79,-0.5925,0.02,0.015,1,2
9,0.816,0.5935,0.02,0.013,1,2
9,0.836,0.5935,0.02,0.013,1,2
9,0.856,0.5935,0.02,0.013,1,2
9,0.876,0.5935,0.02,0.013,1,2
9,0.8895,0.5935,0.007,0.013,1,2
9,0.816,-0.5935,0.02,0.013,1,2
9,0.836,-0.5935,0.02,0.013,1,2
9,0.856,-0.5935,0.02,0.013,1,2
9,0.876,-0.5935,0.02,0.013,1,2
9,0.8895,-0.5935,0.007,0.013,1,2
2,0.1437,1.1935,0.02,0.017,1,2
2,0.1637,1.1935,0.02,0.017,1,2
2,0.1837,1.1935,0.02,0.017,1,2
2,0.2037,1.1935,0.02,0.017,1,2
2,0.2237,1.1935,0.02,0.017,1,2
2,0.24185,1.1935,0.0163,0.017,1,2
2,0.26,1.1925,0.02,0.015,1,2
2,0.275,1.1925,0.01,0.015,1,2
2,0.1437,-1.1935,0.02,0.017,1,2
2,0.1637,-1.1935,0.02,0.017,1,2
2,0.1837,-1.1935,0.02,0.017,1,2
2,0.2037,-1.1935,0.02,0.017,1,2
2,0.2237,-1.1935,0.02,0.017,1,2
2,0.24185,-1.1935,0.0163,0.017,1,2
2,0.26,-1.1925,0.02,0.015,1,2
2,0.275,-1.1925,0.01,0.015,1,2
3,0.132,0.755,0.0034,0.02,1,2
3,0.132,0.775,0.0034,0.02,1,2
3,0.132,0.795,0.0034,0.02,1,2
3,0.132,0.815,0.0034,0.02,1,2
