shot,mid TP position[m],upper TP position[m]
40804,0.8,
40810,0.75,
40811,0.75,
40812,0.75,
40813,0.75,
40814,0.75,
40815,0.75,
40816,0.75,
40817,0.75,
40818,0.75,
40819,0.75,
40820,0.75,
40823,0.8,
40824,0.8,
40825,0.8,
40826,0.8,
40827,0.8,
40828,0.8,
40829,0.8,
40830,0.8,
40831,0.8,
40832,0.8,
40833,0.8,
40834,0.8,
40835,0.8,
40836,0.8,
40837,0.8,
40838,0.8,
40839,0.8,
40840,0.8,
40841,0.8,
40843,0.8,
40846,0.75,
40847,0.75,
40848,0.75,
40849,0.75,
40850,0.75,
40851,0.75,
40852,0.75,
40853,0.75,
40854,0.75,
40855,0.75,
40856,0.75,
40857,0.75,
40859,0.75,
40860,0.75,
40861,0.75,
40862,0.75,
40863,0.75,
40864,0.75,
40865,0.75,
40866,0.75,
40867,0.75,
40868,0.75,
40869,0.75,
40870,0.75,
40871,0.75,
40872,0.75,
40873,0.75,
40875,0.75,
40876,0.75,
40877,0.75,
40878,0.75,
40879,0.75,
40880,0.75,
40881,0.75,
40883,0.75,
40885,0.8,
40886,0.8,
40887,0.8,
40888,0.8,
40889,0.8,
40890,0.8,
40891,0.8,
40892,0.8,
40893,0.8,
40894,0.8,
40895,0.8,
40896,0.81,
40897,0.81,
40898,0.82,
40899,0.82,
40900,0.83,
40901,0.84,
40902,0.84,
40903,0.84,
40904,0.84,
40905,0.84,
40906,0.84,
40907,0.84,
40908,0.84,
40909,0.84,
40910,0.84,
40911,0.84,
40912,0.84,
40913,0.84,
40914,0.84,
40915,0.84,
40916,0.84,
40917,0.84,
40918,0.84,
40919,0.84,
40920,0.84,
40921,0.84,
40922,0.84,
40923,0.84,
40924,0.84,
40925,0.84,
40926,0.84,
40939,0.84,
40940,0.84,
40941,0.84,
40942,0.84,
40943,0.84,
40944,0.84,
40945,0.84,
40946,0.84,
40947,0.84,
40948,0.84,
40949,0.84,
40950,0.84,
40951,0.84,
40952,0.84,
40953,0.84,
40954,0.84,
40955,0.84,
40956,0.84,
40957,0.84,
40958,0.84,
40959,0.84,
40960,0.84,
40961,0.84,
40962,0.84,
40963,0.84,
40964,0.84,
40965,0.84,
40966,0.84,
40967,0.84,
40968,0.84,
40969,0.84,
40970,0.84,
40971,0.84,
40972,0.84,
40977,0.78,
40978,0.78,
40979,0.78,
40980,0.78,
40981,0.78,
40982,0.78,
40983,0.78,
40984,0.78,
40985,0.7,
40986,0.48,
40987,0.43,
40988,0.43,
40989,0.43,
40991,0.84,
40992,0.84,
40993,0.84,
40994,0.84,
40995,0.84,
40996,0.84,
40997,0.84,
40998,0.84,
40999,0.84,
41000,0.84,
41001,0.84,
41002,0.84,
41003,0.84,
41004,0.84,
41005,0.84,
41006,0.84,
41007,0.84,
41008,0.84,
41009,0.84,
41010,0.84,
41011,0.84,
41012,0.84,
41013,0.84,
41014,0.84,
41022,0.84,
41023,0.84,
41024,0.84,
41025,0.84,
41026,0.84,
41071,0.7,
41072,0.7,
41073,0.7,
41074,0.7,
41075,0.7,
41076,0.7,
41077,0.7,
41078,0.7,
41079,0.7,
41080,0.7,
41081,0.7,
41082,0.7,
41083,0.7,
41084,0.7,
41085,0.7,
41086,0.7,
41087,0.7,
41088,0.7,
41089,0.7,
41090,0.7,
41091,0.7,
41092,0.7,
41093,0.7,
41094,0.7,
41095,0.7,
41096,0.7,
41097,0.7,
41098,0.7,
41099,0.7,
41100,0.7,
41101,0.7,
41102,0.7,
41103,0.7,
41104,0.7,
41105,0.7,
41106,0.7,
41107,0.7,
41108,0.7,
41109,0.7,
41110,0.7,
41111,0.7,
41112,0.7,
41113,0.7,
41114,0.7,
41115,0.7,
41116,0.7,
41117,0.7,
41118,0.7,
41119,0.7,
41120,0.7,
41121,0.7,
41122,0.7,
41123,0.7,
41124,0.7,
41246,0.7,
41247,0.7,
41248,0.7,
41249,0.7,
41250,0.7,
41251,0.7,
41252,0.7,
41253,0.7,
41254,0.7,
41255,0.7,
41256,0.7,
41257,0.7,
41258,0.7,
41259,0.7,
41260,0.7,
41261,0.7,
41262,0.7,
41263,0.7,
41264,0.7,
41269,0.7,
41272,0.7,
41282,0.7,
41283,0.7,
41284,0.7,
41285,0.7,
42011,0.4,
42012,0.4,
42013,0.4,
42014,0.4,
42015,0.4,
42016,0.4,
42017,0.4,
42018,0.4,
42235,0.45,
42236,0.45,
42237,0.45,
42238,0.5,
42239,0.5,
42240,0.5,
42241,0.5,
42242,0.5,
42243,0.5,
42244,0.5,
42245,0.5,
42246,0.5,
42247,0.5,
42344,0.7,0.55
42345,0.7,0.55
42346,0.7,0.55
42347,0.7,0.55
42348,0.7,0.55
42349,0.7,0.55
42350,0.7,0.55
42351,0.7,0.55
42352,0.7,0.55
42353,0.7,0.55
42354,0.7,0.55
42355,0.7,0.55
42356,0.7,0.55
42357,0.7,0.55
42358,0.7,0.55
42359,0.7,0.55
42360,0.7,0.45
42361,0.7,0.45
42362,0.7,0.45
42363,0.7,0.45
42364,0.7,0.45
42365,0.7,0.45
42477,0.75,0.59
42478,0.75,0.59
42479,0.75,0.59
42480,0.75,0.59
42481,0.75,0.59
42482,0.75,0.59
42483,0.75,0.59
42484,0.75,0.59
42485,0.70,0.58
42486,0.65,0.57
42487,0.60,0.56
42488,0.55,0.55
42489,0.53,0.53
42490,0.51,0.51
42491,0.78,0.45
42492,0.77,0.40
42493,0.76,0.35
42494,0.75,0.30
42495,0.75,0.45
42496,0.75,0.45
42511,0.75,0.6
42512,0.75,0.50
42513,0.75,0.50
42514,0.75,0.50
42515,0.75,0.50
42516,0.75,0.50
42625,0.7,0.45
42626,0.7,0.45
42627,0.7,0.45
42628,0.7,0.45
42629,0.7,0.45
42630,0.7,0.45
42631,0.7,0.45
42632,0.7,0.45
42633,0.7,0.45
42634,0.7,0.45
42635,0.7,0.45
42636,0.7,0.45
42637,0.7,0.45
42638,0.7,0.45
42699,0.79,0.59
42700,0.79,0.59
42701,0.79,0.59
42702,0.79,0.59
42703,0.79,0.59
42704,0.78,0.58
42705,0.77,0.57
42706,0.76,0.56
42707,0.75,0.55
42708,0.70,0.53
42709,0.65,0.51
42710,0.60,0.49
42711,0.55,0.47
42712,0.53,0.45
42713,0.51,0.43
42714,0.49,0.41
42715,0.47,0.39
42716,0.45,0.37
42717,0.40,0.35
42718,0.35,0.33
42749,0.76,
42750,0.8,
42751,0.8,
42752,0.8,
42753,0.8,
42754,0.8,
42755,0.8,
42756,0.8,
42757,0.8,
42758,0.8,
42759,0.8,
42760,0.8,
42761,0.8,
42766,0.55,0.55
42767,0.55,0.55
42768,0.55,0.55
42769,0.50,0.50
42770,0.45,0.45
42771,0.40,0.40
42772,0.40,0.40
42773,0.40,0.40
42774,0.45,0.45
42775,0.5,0.5
42776,0.55,0.55
42777,0.55,0.55
42778,0.55,0.55
42779,0.50,0.50
42780,0.45,0.45
42781,0.40,0.40
42782,0.40,0.40
42783,0.40,0.40
42784,0.45,0.45
42785,0.50,0.50
42786,0.55,0.55
42799,0.55,0.55
42800,0.5,0.5
42801,0.5,0.5
42802,0.5,0.5
42803,0.5,0.5
42804,0.5,0.5
42805,0.5,0.5
42806,0.5,0.5
42807,0.5,0.5
42808,0.5,0.5
42809,0.5,0.5
42810,0.5,0.5
42811,0.5,0.5
42812,0.5,0.5
42813,0.5,0.5
42814,0.5,0.5
42815,0.5,0.5
42816,0.5,0.5
42817,0.5,0.5
42818,0.5,0.5
42819,0.5,0.5
42820,0.5,0.5
42821,0.5,0.5
43046,0.45,0.45
43047,0.45,0.45
43048,0.38,0.38
43049,0.38,0.38
43050,0.38,0.38
43051,0.35,0.35
43052,0.35,0.35
43053,0.35,0.35
43054,0.35,0.35
43055,0.35,0.35
43056,0.35,0.35
43057,0.35,0.35
43058,0.35,0.35
43059,0.35,0.35
43060,0.35,0.35
43061,0.35,0.35
43062,0.35,0.35
43063,0.35,0.35
43064,0.35,0.35
43065,0.35,0.35
43066,0.35,0.35
43067,0.35,0.35
43068,0.35,0.35
43069,0.8,0.55
43070,0.8,0.59
43071,0.8,0.59
43072,0.8,0.59
43073,0.8,0.59
43074,0.8,0.59
43075,0.8,0.59
43076,0.8,0.59
43077,0.8,0.35
43078,0.8,0.35
43079,0.8,0.35
43080,0.8,0.35
43081,0.8,0.35
43082,0.8,0.35
43083,0.8,0.35
43084,0.8,0.35
43085,0.8,0.35
43086,0.8,0.35
43087,0.8,0.35
43169,0.35,0.35
43170,0.35,0.35
43171,0.35,0.35
43172,0.35,0.35
43173,0.35,0.35
43174,0.35,0.35
43175,0.35,0.35
43176,0.35,0.35
43177,0.35,0.35
43178,0.35,0.35
43179,0.35,0.35
43180,0.35,0.35
43181,0.4,0.4
43182,0.4,0.4
43183,0.4,0.4
43184,0.4,0.4
43185,0.4,0.4
43186,0.4,0.4
43187,0.4,0.4
43188,0.4,0.4
43189,0.4,0.4
43190,0.4,0.4
43191,0.4,0.4
43192,0.4,0.4
43193,0.4,0.4
43194,0.4,0.4
43195,0.4,0.4
43196,0.4,0.4
43197,0.4,0.4
43198,0.4,0.4
43199,0.4,0.4
43200,0.4,0.4
43201,0.4,0.4
43202,0.4,0.4
43203,0.4,0.4
43204,0.4,0.4
43205,0.4,0.4
43206,0.4,0.4
43207,0.4,0.4
43209,0.4,0.4
43210,0.4,0.4
43211,0.4,0.4
43212,0.4,0.4
43213,0.4,0.4
43214,0.4,0.4
43215,0.4,0.4
43216,0.4,0.4
43414,,0.35
43415,,0.35
43416,,0.35
43417,,0.35
43418,,0.35
43419,,0.35
43420,,0.35
43421,,0.35
43422,,0.35
43423,,0.35
43424,,0.35
43425,,0.35
43426,,0.35
43427,,0.35
43519,0.8,0.6
43520,0.8,0.6
43521,0.8,0.6
43522,0.8,0.6
43523,0.8,0.6
43524,0.8,0.6
43525,0.8,0.6
43526,0.8,0.6
43527,0.8,0.6
43528,0.75,0.57
43529,0.70,0.54
43530,0.65,0.51
43531,0.6,0.49
43532,0.55,0.45
43533,0.50,0.42
43534,0.45,0.39
43535,0.40,0.36
43536,0.35,0.33
43537,0.30,0.30
43538,0.8,0.6
43539,0.75,0.57
43540,0.75,0.57
43541,0.75,0.57
43542,0.75,0.57
43543,0.70,0.54
43544,0.70,0.54
43545,0.65,0.51
43546,0.60,0.48
43547,0.55,0.45
43548,0.50,0.42
43549,0.45,0.39
43550,0.45,0.39
43551,0.40,0.36
43552,0.35,0.33
43553,0.3,0.3
43554,0.3,0.3
43555,0.3,0.3
43556,0.25,0.28
43659,0.8,0.6
43660,0.8,0.6
43661,0.8,0.6
43662,0.75,0.57
43663,0.70,0.54
43664,0.65,0.51
43665,0.60,0.48
43666,0.60,0.48
43667,0.65,0.51
43668,0.55,0.45
43669,0.55,0.45
43670,0.50,0.42
43671,0.45,0.39
43672,0.40,0.36
43673,0.40,0.36
43674,0.35,0.33
43675,0.35,0.33
43676,0.30,0.30
43677,0.25,0.28
43678,0.6,0.26
43679,0.65,0.24
43680,0.8,0.3
43681,0.8,0.3
43711,0.8,0.6
43712,0.8,0.6
43713,0.8,0.6
43714,0.8,0.57
43715,0.8,0.57
43716,0.8,0.57
43717,0.8,0.57
43718,0.8,0.57
43719,0.8,0.57
43720,0.8,0.57
43721,0.8,0.57
43722,0.8,0.54
43723,0.8,0.54
43724,0.8,0.51
43725,0.8,0.48
43726,0.8,0.45
43727,0.8,0.42
43728,0.8,0.39
43729,0.8,0.36
43730,0.8,0.33
43731,0.8,0.30
43732,0.8,0.27
43733,0.8,0.24
43734,0.8,0.22
43735,0.8,0.36
43736,0.8,0.36
43737,0.8,0.36
43738,0.8,0.36
43739,0.8,0.36
43740,0.8,0.36
43743,0.8,0.6
43744,0.8,0.57
43745,0.8,0.57
43746,0.8,0.54
43747,0.8,0.51
43748,0.8,0.48
43749,0.8,0.45
43750,0.8,0.42
43751,0.8,0.39
43752,0.8,0.36
43753,0.8,0.33
43754,0.8,0.30
43755,0.8,0.27
43756,0.8,0.24
43757,0.8,0.22
43758,0.8,0.6
43829,0.78,
43830,0.78,
43831,0.78,
43832,0.78,
43833,0.78,
43834,0.78,
43835,0.78,
43836,0.78,
43837,0.78,
43838,0.78,
43839,0.78,
43840,0.78,
43841,0.78,
43842,0.78,
43843,0.78,
43844,0.78,
43845,0.78,
43846,0.78,
43847,0.78,
43848,0.78,
43849,0.78,
43850,0.78,
43851,0.78,
43852,0.78,
43853,0.78,
43854,0.78,
43855,0.78,
43856,0.78,
43857,0.78,
43858,0.78,
43859,0.78,
43860,0.78,
43861,0.78,
43862,0.78,
43863,0.78,
43864,0.78,
43865,0.78,
43866,0.78,
43867,0.78,
43868,0.78,
43869,0.78,
43870,0.78,
43871,0.78,
43872,0.78,
43873,0.78,
43874,0.78,
43875,0.78,
43876,0.78,
43877,0.78,
43878,0.78,
43879,0.78,
43880,0.78,
43881,0.78,
43882,0.78,
43883,0.78,
43884,0.78,
43885,0.78,
43891,0.8,0.6
43892,0.8,0.6
43893,0.8,0.6
43894,0.8,0.6
43895,0.8,0.6
43896,0.8,0.6
43897,0.8,0.6
43898,0.8,0.6
43899,0.8,0.6
43900,0.8,0.6
43901,0.8,0.6
43902,0.8,0.6
43903,0.8,0.6
43904,0.8,0.6
43905,0.8,0.6
43906,0.8,0.6
43907,0.8,0.6
43908,0.8,0.6
43909,0.8,0.6
43910,0.8,0.6
43911,0.8,0.6
43912,0.8,0.6
43913,0.8,0.6
43914,0.8,0.6
43915,0.8,0.6
43916,0.8,0.6
43917,0.8,0.6
43918,0.8,0.6
43919,0.8,0.6
43920,0.8,0.6
43921,0.8,0.6
43922,0.8,0.6
43923,0.8,0.6
43924,0.8,0.6
43925,0.8,0.6
43926,0.8,0.6
43927,0.8,0.6
43928,0.8,0.6
43929,0.8,0.6
43930,0.8,0.6
44065,0.8,0.33
44066,0.8,0.33
44067,0.33,
44068,0.33,
44069,0.33,
44070,0.3,
44071,0.27,
44072,0.24,
44073,0.21,
44074,0.21,
44075,0.24,
44076,0.27,
44077,0.3,
44078,0.33,
44108,0.78,
44109,0.78,
44132,0.8,
44133,0.8,
44134,0.8,
44135,0.76,
44136,0.76,
44137,0.76,
44138,0.76,
44139,0.76,
44140,0.76,
44141,0.75,
44142,0.74,
44143,0.73,
44144,0.72,
44145,0.71,
44146,0.7,
44147,0.69,
44148,0.68,
44149,0.67,
44150,0.66,
44151,0.65,
44157,0.76,
44158,0.76,
44159,0.76,
44160,0.76,
44161,0.76,
44162,0.76,
44163,0.76,
44164,0.76,
44165,0.76,
44166,0.76,
44167,0.76,
44168,0.75,
44169,0.75,
44270,0.27,
44271,0.27,
44272,0.27,
44273,0.24,
44274,0.3,
44275,0.27,
44276,0.27,
44277,0.27,
44278,0.27,
44279,0.27,
44280,0.27,
